,id,sentence,label,source,category,subject_word,subject_start,subject_end,subject_type,object_word,object_start,object_end,object_type
33,31586,"동자 0년 옥스퍼드 대학교 크라이스트처치 칼리지에 입학하여 존 웨슬리가 1724년에 문학사 ( A. B.'학위를 땄고, 대학원에 진학하여 문학석사 < M 유창 A. ) 학위 취득을 위해 계속 공부하였다.",per:schools_attended,wikipedia,per,웨슬리,35,37,PER,옥스퍼드 대학교,6,13,ORG
34,31587,"1720년 옥스퍼드 대학교 크라이스트처치 칼리지에 입학하여 존 웨슬리는 1724 단락에 문학사 ( B. A.'학위를 땄고, 대학원에 입학하여 문학 석학 ( M. A. ) 학위 취득을 가능기도 하였다.",per:schools_attended,wikipedia,per,웨슬리,35,37,PER,옥스퍼드 대학교,6,13,ORG
35,31588,"로런 파우스트는 1992년부터 1994년까지 캘리포니아 인스티튜트 오브 디 아츠를 다녔고, 러프 드래프트 스튜디오의 화면 구성 작가로 일했다.",per:schools_attended,wikipedia,per,로런 파우스트,0,6,PER,캘리포니아 인스티튜트 오브 디 아츠,25,43,ORG
36,31589,"로런 파우스트는 1992년부터 1994년까지 캘리포니아 인스티튜트 오브 디 아츠를 다녔고, 러프 은어 스튜디오에서 드라마 구성 작가로 일했다.",per:schools_attended,wikipedia,per,로런 파우스트,0,6,PER,캘리포니아 인스티튜트 오브 디 아츠,25,43,ORG
37,31590,로런 파우스트는 1992월부터 1994년까지 캘리포니아 인스티튜트 오브 디 아츠를 다녔고 이후 드래프트 프 드래프트 스튜디오에서 화면 구성 작가로 일했다.,per:schools_attended,wikipedia,per,로런 파우스트,0,6,PER,캘리포니아 인스티튜트 오브 디 아츠,25,43,ORG
38,31591,"로런 파우스트는 1992월부터 1994년까지 캘리포니아 인스티튜트 오브 디 아츠를 다녔고, 러프 드래프트 스튜디오의 화면 구성 작가로 일했다.",per:schools_attended,wikipedia,per,로런 파우스트,0,6,PER,캘리포니아 인스티튜트 오브 디 아츠,25,43,ORG
39,31592,"로런 파우스트는 1992년부터 1994년 가 ial 캘리포니아 인스티튜트 오브 디 아츠를 다녔고, 러프 드래프트 스튜디오에서 화면 구성 작가로 일했다.",per:schools_attended,wikipedia,per,로런 파우스트,0,6,PER,캘리포니아 인스티튜트 오브 디 아츠,29,47,ORG
40,31593,"다쓰노 긴고 ( 1853 음력 10월 13일 ~ 1919 실래요 3월 13월, 는 보전의 아들 이다. 고부대학교 ( 部 部 大 ( 이후 도쿄 대 정치전 대학, 현재 도쿄대 남편 공학부 ) 를 졸업하고 공학박사 가 되었다.",per:schools_attended,wikipedia,per,다쓰노 긴고,0,5,PER,고부대학교,57,61,ORG
41,31594,"다쓰노 긴고 ( 1854 야외 10월 13일 ~ 1919년 3월 25일 ) 는 도쿄 의 건축가이다. 고부대학교 ( 部 大 學, 이후 고등 대학 공과대학, 현재 도쿄대학 공학부 ) 를 졸업하고 공학박사가 되었다.",per:schools_attended,wikipedia,per,다쓰노 긴고,0,5,PER,고부대학교,56,60,ORG
42,31595,"다쓰노 긴고 ( 1854년 10월 13일 ~ 1919년 1 월 25 日 는 은 일본의 건축가이다. 고부대학교 ( 部 : 이후 제국대학 공과대학교, 현재 제국 대학 공학부 ) 를 졸업하고 공학박사가 되었다.",per:schools_attended,wikipedia,per,다쓰노 긴고,0,5,PER,고부대학교,55,59,ORG
43,31596,"다쓰노 긴고 ( 1854년 10월 13일 ~ 1995 년 3월 25일 ) 는 일본의 건축가이다. 고부대학교 ( 고부 大, 이후 제국대학교 공과대 캘 / 현재 도쿄대 반등 공학부 ) 를 졸업하고 공학박사박사 되었다.",per:schools_attended,wikipedia,per,다쓰노 긴고,0,5,PER,고부대학교,54,58,ORG
44,31597,"다쓰노 긴고 ( 1854 年 10월 13일 ~ 1919년 3월 25일 보배 은 일본의 건축가이다. 고부대학교 ( 部 大, 이후 제국대학 공과대학, 현재 도쿄대학 공학부 ) 를 입학 하고 공학박사가 되었다.",per:schools_attended,wikipedia,per,다쓰노 긴고,0,5,PER,고부대학교,55,59,ORG
45,31598,"170 0년 옥스퍼드 대학교 크라이스 트리 칼리지에 입학하여 존 웨슬리는 1724년, 학사 ( B. Aiv) 학위를 땄으나, 대학원에 진학 of 경영학 석사 ( M. A. ) 학위 취득을 위해 계속 공부하였다.",per:schools_attended,wikipedia,per,존 웨슬리,34,38,PER,옥스퍼드 대학교,7,14,ORG
46,31599,"160 0년 옥스퍼드 대학교 크라이스트처치 칼리지로 입학한 존 웨슬리는 대학 4년, 문학 문학 B ( B. 특임 학위를 땄고, 대학원에 진학하여 문학한 사 ( M. A. ) 학위 취득을 위해 계속 공부하고였다.",per:schools_attended,wikipedia,per,존 웨슬리,33,37,PER,옥스퍼드 대학교,7,14,ORG
47,31600,"1720년 옥스퍼드 대학교 크라이스트처치 학교에 진학던 존 웨슬리는 172 틴트년, 문학사 ( B. B. ) 학위를 땄고, 대학원에 진학해 문학석사 ( M. A. ) 학위 획득을 위해 계속 공부하였다.",per:schools_attended,wikipedia,per,존 웨슬리,31,35,PER,옥스퍼드 대학교,6,13,ORG
48,31601,"1720년 옥스퍼드 대학교 크라이 크라이 디트 칼리지에 입학한 존 웨슬리는 1724 LPGA, 문학사 ( B. A. ) 학위를 땄고, 대학원으로 진학하여 기 부석사 ( M. A. ) 학위 취득을 위해 계속 노력하였다.",per:schools_attended,wikipedia,per,존 웨슬리,35,39,PER,옥스퍼드 대학교,6,13,ORG
49,31602,"1720년 옥스퍼드 대학교 크라이스트처치 칼리지에 입학된 존 웨슬리는 1724년, 문학사 ( B. Aiv 학위 학위를 땄고 이후 대학원에 입학하여 문학석사 ( M. A. ) 학위 취득을 위해 계속 공부하였다.",per:schools_attended,wikipedia,per,존 웨슬리,32,36,PER,옥스퍼드 대학교,6,13,ORG
50,31603,"대구고등학교 1년 때인 2007 년에 투수 정인욱, 이강혁 등과 함께 대구고등학교를 청룡 적법 황금 대기 우승으로 이끌었고, 이듬해 는 우수 투수상을 수상했다.",per:schools_attended,wikipedia,per,정인욱,24,26,PER,대구고등학교,0,5,ORG
51,31604,"대구고등학교 2학년 때인 2007 년에 투수 정인욱은 이강혁 감독 과 함께 대구고등학교를 창단 첫 봉황대기 우승으로 이끌었고, 그는 우수 투수 상 을 차지 했다.",per:schools_attended,wikipedia,per,정인욱,25,27,PER,대구고등학교,0,5,ORG
52,31605,"대구고등학교 2학년이던 2008년 그는 정인욱, 이강혁 등과 함께 대구고등학교를 엘리자베스 첫 황금 대기 우승으로 이끌었고, 그는 우수 투수상을 수상했다.",per:schools_attended,wikipedia,per,정인욱,22,24,PER,대구고등학교,0,5,ORG
53,31606,"대구고등학교 2학년 때인 2008년에는 정인욱, 이강한 등과 함께 대구고등학교를 창단 첫 봉황대기 우승으로 이끌었고, 그는 우수 투수상을 수상했다.",per:schools_attended,wikipedia,per,정인욱,22,24,PER,대구고등학교,0,5,ORG
54,31607,"대구고등학교 2 패스트푸드 때던 2007 년에 투수 정인욱, 이강혁 등와 함께 대구고등학교를 창단 첫 봉황대기 우승으로 이끌었고 살려 그는 그해 투수왕 을 수상했다.",per:schools_attended,wikipedia,per,정인욱,29,31,PER,대구고등학교,0,5,ORG
55,31608,졸업 후 5개월 정도 현장 실습을 마친 박정희는 1942 년 10년 1에 일본 육군사관학교 제57기로 편입했다.,per:schools_attended,wikipedia,per,박정희,22,24,PER,육군사관학교,44,49,ORG
56,31609,그 후 2 개월 정도 현장 실습을 마친 박정희는 1942년 10월 1일 일본 육군사관학교 제57기로 임관했다.,per:schools_attended,wikipedia,per,박정희,22,24,PER,육군사관학교,43,48,ORG
57,31610,졸업 직후 5개월 정도 현장 실습을 마친 박정희는 1942년 10월 1일 일본 육군사관학교 제2학교로 편입했다.,per:schools_attended,wikipedia,per,박정희,23,25,PER,육군사관학교,44,49,ORG
58,31611,졸업 후 5개월 이해관계 현장 실습을 마친 박정희는 1942년 10월 1일 일본 육군사관학교 제57기로 편입했다.,per:schools_attended,wikipedia,per,박정희,24,26,PER,육군사관학교,45,50,ORG
59,31612,그 후 3 2 월 정도 현장 실습을 마친 박정희는 1942 년 11 월 1일 일본 육군사관학교 학교 57기로 편입했다.,per:schools_attended,wikipedia,per,박정희,23,25,PER,육군사관학교,46,51,ORG
60,31613,"또한, 1960년 전라북도 남원 금지중학교를 졸업하여 그 해에 마산상업고등학교에 입학을 한지 며칠 안돼 시위에 참가했던 학생 김주열의 시신이 4월 11일 아침 왼쪽 눈 아래 최루탄 노예 박힌 채 마산 앞바다에 떠오른 것이 발견되면서 시위는 더욱 격화되었고, 이후 전국적으로 시위가 확산되어 4 · 11 혁명을 촉발하게 이르렀다.",per:schools_attended,wikipedia,per,김주열,70,72,PER,마산상업고등학교,35,42,ORG
61,31614,"또한, 1960년 전라북도 남원 금지중학교를 졸업하여 그 해에 마산상업고등학교로 전학을 한지 얼마 안 돼 시위에 참여했단 학생 김주열의 시신이 4 · 4 일 아침 플 눈 아래 탄 탄이 박힌 채 마산 앞바다로 떠오른 것이 발견되면서 시위는 한층 격화되되 고, 마침내 전국적으로 사태 가 확산되어 개별 · 단체 운동을 촉발하기에 이르렀다.",per:schools_attended,wikipedia,per,김주열,71,73,PER,마산상업고등학교,35,42,ORG
62,31615,"또 하나는 1960년 전라북도 남원 금지중학교를 졸업하고 그 해에 마산상업고등학교로 입학을 한지 얼마 안 돼 시위에 참가한 던 학생 김주열의 시신들이 4월 13 일 내뿜 왼쪽 눈에 최루탄이 박힌 채 마산 앞바다로 떠오른 시신 이 발견되어 사태가 더욱 격화되었고, 이후 전국으로 시위가 확산하여 어 4 · 19 혁명을 야기하기에 이르렀다.",per:schools_attended,wikipedia,per,김주열,74,76,PER,마산상업고등학교,37,44,ORG
63,31616,"또한, 1960년 특공월 금지중학교를 졸업하여 그 해 해 마산상업고등학교로 입학을 한지 얼마 안 돼 시위에 참가한 던 학생 김주열의 시신이 4월 4 할미 아침에 눈에 최루 최루 이 박힌 채 마산 바다에 떠오른 것이 발견되면서 시위는 거는 격화되었고고 이후 전국으로 시위가 확산 [ unused335 ] 어 4 · 19 혁명들에 하기에 있다.",per:schools_attended,wikipedia,per,김주열,69,71,PER,마산상업고등학교,32,39,ORG
64,31617,"또한, 1960학년 전라북도 남원 금지중학교에 재학하여 1960 해 경상남도 마산상업고등학교로 입학을 하고 얼마 얼마 되 시위에 참가했던 학생 김주열의 시신가 53월 11일 아침 왼쪽 눈 나이티 최루액 이 박힌 채 마산 바다로 떠오른 것이 확인 돼보기 시위는 더욱 격화되었고, 이후 전국적으로 시위 환 확산돼 방식 4위 하 11 혁명으로 촉발되어 이르렀다.",per:schools_attended,wikipedia,per,김주열,80,82,PER,마산상업고등학교,43,50,ORG
65,31618,한국 여자복싱계 ‘ 샛별 ’ 임애지 ( 22 ‧ 한국체대 ] 가 한국 여자 복 싱 사상 최초 로 올림픽 본선 출전 티켓 을 달성 했다.,per:schools_attended,wikitree,per,임애지,16,18,PER,한국체대,27,30,ORG
66,31619,한국 여자복싱계 ‘ 샛별 ’ 임애지 ( 21 ‧ 한국체대 ) 가 한국 여자복싱 사상 최초로 올림픽 올림픽 출전권권 획득했다.,per:schools_attended,wikitree,per,임애지,16,18,PER,한국체대,27,30,ORG
67,31620,한국 여자복싱계 ‘ 샛별 ’ 임애지 ( 21 ‧ 한국체대 ) 가 한국 여자 복 싱 사상 최초 로 올림픽 본선 출전권을 획득했다.,per:schools_attended,wikitree,per,임애지,16,18,PER,한국체대,27,30,ORG
68,31621,한국 여자복싱계 ‘ 샛별'임애지 ( 21 ‧ 한국체대 ) 가 한국 女 양식싱 사상 최초로 올림픽 본선 출전권을 획득했다.,per:schools_attended,wikitree,per,임애지,14,16,PER,한국체대,25,28,ORG
69,31622,한국 여자복 최강 두부 ‘ 샛주 ’ 임애지 ( 21 ‧ 한국체대 ) 가 한국 여자복복 선수 최초로로 본선 출전권을 뉘앙스했다.,per:schools_attended,wikitree,per,임애지,20,22,PER,한국체대,31,34,ORG
70,31623,"그 후 김재한을 감독으로 영입한 LG 트윈스는 양승호를 2군 감독으로 내정했지만, 이를 사양하여 2008 년 3 월 22일 고려대학교 감독으로 취임하였다.",per:schools_attended,wikipedia,per,양승호,26,28,PER,고려대,69,71,ORG
71,31624,"시즌 전 로이 박을 감독으로 영입한 LG 트윈스가 양승호를 2군 감독으로 내정했으나, 이를 사양하고 2006년 12월 모교인 고려대학교 감독으로 전격 기록이었다.",per:schools_attended,wikipedia,per,양승호,28,30,PER,고려대,70,72,ORG
72,31625,"시즌 전 김재박을 감독으로 영입했 LG 트윈스는 양승호를 1 국 감독에 내정했으나, 돌연 글하고 고고 12월 모교 모교 고려대학교 총장으로 취임하였다.",per:schools_attended,wikipedia,per,양승호,27,29,PER,고려대,67,69,ORG
73,31626,"시즌 후 김재박을 단장으로 영입한 LG 구단과 양승호를 2군 감독으로 내정했으나, 이를 사양하고 2006년 3 월 모교인 고려대학교 사령탑으로 취임하였다.",per:schools_attended,wikipedia,per,양승호,26,28,PER,고려대,68,70,ORG
74,31627,시즌 후 김재한을 감독으로 영입했 LG 트윈스는 양승호를 2군 감독으로 내정했으나 나 이를 사양 eph 2006년 12월 모교인 고려대학교 감독으로 부임하였다.,per:schools_attended,wikipedia,per,양승호,27,29,PER,고려대,72,74,ORG
75,31628,"차 터 필드 학교와 옥스퍼드 대학교에서 공부 한 존 웨슬리는 옥스퍼드 링컨 칼리지에서 교수 ( fellow) 가 되었으며, 1725년에는 부제가, 1728년에는 사제 / 교구 목사가 되었다.",per:schools_attended,wikipedia,per,존 웨슬리,27,31,PER,옥스퍼드 대학교,11,18,ORG
76,31629,"차터 하우스 학교와 옥스퍼드 대학교에서 공부한 존 웨슬리는 옥스퍼드 링컨 칼리지에서 교수 ( Fe fe ow) 가 되었으며, 172 5네스에는 부제가, 1728년에는 사제 / 띄목사가 되었다.",per:schools_attended,wikipedia,per,존 웨슬리,26,30,PER,옥스퍼드 대학교,11,18,ORG
77,31630,"크라이 터 하우스 신학교 와 옥스퍼드 대학교에서 공부한 존 웨슬리는 옥스퍼드 링컨 칼리지의 교수 ( fellow 가 가 되었으며, 1725년에는 부제가, 1728년부터는 사제이자 목사가 되었다.",per:schools_attended,wikipedia,per,존 웨슬리,31,35,PER,옥스퍼드 대학교,16,23,ORG
78,31631,"클라이밍 하우스 학교와 옥스퍼드 대학교에서 공부한 존 웨슬리는 옥스퍼드 유니버 칼리지 칼리지로 우 ( H llow) 가 되었으며, 1725년에는 거는가, 1728년에는 사제 / 장로 목사가 되었다.",per:schools_attended,wikipedia,per,존 웨슬리,28,32,PER,옥스퍼드 대학교,13,20,ORG
79,31632,"차터 하우스 학교와 옥스퍼드 대학교에서 공부한 존 웨슬리는 옥스퍼드 교차 칼리지의 교수 ( fellow)가 되었으며, 1726 년에는 부제를, 걸친 8년에는 목사 / 장로 목사가 있었다.",per:schools_attended,wikipedia,per,존 웨슬리,26,30,PER,옥스퍼드 대학교,11,18,ORG
80,31633,3 · 14 부정 위례 선거 무효 및 재선거를 주장하던 3 · 15 마산 의거에 참여한 1960년 전라북도 남원 금지중학교를 자퇴하여 마산상업고등학교에 입학한 지 얼마 안 된 학생 김주열이 구속된 지 27일 후인 4월 11일 아침 마산 합 부부 앞바다에서 왼쪽 눈에 경찰이 쏜 총 탄이 박힌 채 시신으로 떠오른 것이 부산일보를 통해 보도되면서 시위는 전국적으로 번지며 격화되었다.,per:schools_attended,wikipedia,per,김주열,101,103,PER,마산상업고등학교,75,82,ORG
81,31634,3 15국 통령 선거 선거 무효와 무효를 주장하던 2월 15 마산 의거에 참가 하였으로 전라북도 남원 금지중학교를 졸업하여 마산상업고등학교에 입학 입학 지 얼마 안 된 학생 김주열이 실종된 지 2 일 후인 3 월 11일일 마산 중앙 부두 앞바다에서 왼쪽 눈에 경찰이 쏜 최루탄이 이뤄질 채 모습으로 떠오른 것 이 부산 연합뉴스를 통해 보도되면서 시위는 세계적으로 퍼지며 격화되었다.,per:schools_attended,wikipedia,per,김주열,97,99,PER,마산상업고등학교,69,76,ORG
82,31635,2 · 15 부정 선거에 무효와 직선제를 주장하던 3. 15 마산 의거에 참여한 1960년 전라북도 남원 금지중학교를 칙칙하여 마산상업고등학교에 진학 한지 얼마 안 된 학생 김주열이 실종된 지 2 일째인 4월 11일 아침 마산 중앙 부두 앞바다에서 왼쪽 눈에 경찰이 쏜 최루탄이 박힌 채 시신으로 떠오른 것이 부산일보를 통해 보도되면서 시위는 전국적으로 퍼지며 격화되었다.,per:schools_attended,wikipedia,per,김주열,97,99,PER,마산상업고등학교,71,78,ORG
83,31636,2 · 15 부정 선거의 무효 및 재선거를 촉구하던 3 · 15 마산 시위에 참여한 1929 년 전라북도 남원 금지중학교를 졸업하여 마산상업고등학교에 입학한 지 얼마 안 된 학생 김주열이 실종된 지 27일 후인 4월 11 날 아침 마산 중앙 부두 앞바다에서 왼쪽 눈 아래 군인 이 쏜 최루탄에 박힌 채 수면으로 떠오른 것 이 부산일보를 통해 끈질 기지면서 시위는 전국으로 퍼지며 격화되었다.,per:schools_attended,wikipedia,per,김주열,100,102,PER,마산상업고등학교,74,81,ORG
