,Unnamed: 0,id,sentence,label,source,category,subject_word,subject_start,subject_end,subject_type,object_word,object_start,object_end,object_type
1832,1832,31574,"한양대 2학년 때까지만 는 평범한 성적을 유지 했지만, 뚫학년 때 고종욱과 함께 빠른 야구를 경남대하며 타율을 0. 299까지 끌어올렸다.",per:schools_attended,wikipedia,per,고종욱,37,39,PER,한양대,0,2,ORG
1832,1832,31575,"한양대 2학년 때까지는 평범한 성적을 기록했으나, 3학년 때 고종욱과 함께 빠른 야구를 구사 하며 타율을 0. 299까로 끌어올렸다.",per:schools_attended,wikipedia,per,고종욱,34,36,PER,한양대,0,2,ORG
1832,1832,31576,"한양대 2학년 때까지는 평범한 성적을 기록했지만, 3학년 때 고종욱 따라붙 함께 빠른 야구 훈련를 하며 타율을 0, 299까지 끌어올렸다.",per:schools_attended,wikipedia,per,고종욱,34,36,PER,한양대,0,2,ORG
1832,1832,31577,"한양대 2학년 때까지는 평범한 성적으로 아찔했지만, 4 학년 때 고종욱와 함께 빠른 야구를 시작 하며 타율을 0. 299 이상 지 끌어올렸다.",per:schools_attended,wikipedia,per,고종욱,36,38,PER,한양대,0,2,ORG
2009,2009,31578,"북화 고등학교 시절 때 의 좌완 에이스로 활동하다가 팔꿈치 FBI으로 인해 단국대학교 1학년 때 외야수 로 전업했지만, 2학년 때 그 해 가을에에 1992년 하계 하계 예선전 대표로 뽑힌 것을 시작으로 4년 내내 국가 대표팀 활동했으며, 고려대학교의 심재학교차 함께'심 - -'로 불리며 대학 야구 최고의 홈런타자로 활약한다.",per:schools_attended,wikipedia,per,심재학,140,142,PER,고려대,133,135,ORG
2009,2009,31579,"북일고등학교학교 팀팀 좌완 에이스 에이스 활동하다가, 부상으로으로 광 대학교 1학년 때 외야수로 전업했지만, 2 학년 때 그 해 가을에 열린 1992 년 여름 올림픽 일리 대표로 뽑힌 것을 인연 으로 2 년 내내 국가대표로 활동했으며, 고려대학교의 심재학과 함께'심 -포'로 불리며 대학 야구 최고 의 홈런타자로 활약한다.",per:schools_attended,wikipedia,per,심재학,139,141,PER,고려대,132,134,ORG
2009,2009,31580,"광주 일고등 학교 시절 팀의 좌완 투수 로 활동하 다가 팔꿈치 부상으로 인해 단국대학교 1학년 때 외야수로 전업했지만, 2 학년 때 그 해 그해 에 열린 1992년 하계 올림픽 예선전 대표로 뽑힌 것 을 시작으로 4년 내내 국가대표로 활동했으며, 고려대학교 시절 심재학과 함께'심 - 심포'로 불리며 대학 야구 최고의 홈런 타자로 활약한다.",per:schools_attended,wikipedia,per,심재학,147,149,PER,고려대,138,140,ORG
2009,2009,31581,"북일고등학교 시절 학교 의 좌완 에이스로 활동하다가 부친부상화 인해 단국대학 1학년 때 외야수 절단 전업했지만지만 1 학년 때 그 해 해 에 열린 1992 1992 하계 올림픽 예선전 대표로로 것을 시작 시작 4년 내내 내내 대표대표 활동 활동 으며, 고려대 고려대 의 심재학과과'심 - 심포포 로 불리며며 야구 최고의 홈런타자로 활약한다.",per:schools_attended,wikipedia,per,심재학,151,153,PER,고려대,141,143,ORG
2009,2009,31582,"북일고등학교 시절 팀의 좌완 에이스 [ unused354 ] 활동하다가 팔꿈치 부상으로 인해 단국대학교 1학년 때 외야수 로 전업했지만, 2학년 때 그 해 가을에 열린 열린 년 하계 하계 예선전 대표 정봉주 뽑힌 것을 줄으로 4년년 국가대표로 활동했으며, 고려대학교의 심재학과과'심 - 심포'' 로 며 대학 대학 최고의 홈런타자로 활약한다.",per:schools_attended,wikipedia,per,심재학,150,152,PER,고려대,143,145,ORG
3721,3721,31583,"1720년 옥스퍼드 대학교 임 스트스 칼리지에 입학한 존 웨슬리는 1724 년에 문학사 ( B. A. ) 학위를 땄으나, 대학원에 진학하여 문학석사 ( B. A. ) 자격 취득을 위해 계속 공부하고 였다.",per:schools_attended,wikipedia,per,웨슬리,32,34,PER,옥스퍼드 대학교,6,13,ORG
3721,3721,31584,"1720 년 옥스퍼드 대학교 래 스트처치 칼리지에 입학한 존 웨슬리는 1724년, 학사 ( B. A. ) 학위를 땄고, 대학원에 진학해 문학문학 사'M. B. ) 학위 취득을 위해 계속 공부하였다.",per:schools_attended,wikipedia,per,웨슬리,34,36,PER,옥스퍼드 대학교,7,14,ORG
3721,3721,31585,"1720년 옥스퍼드 대학교 크라이스트처치 칼리지에 입학한 찰스 웨슬리 ( 1720에, 학사 ( B. A. ) 학위를 땄고, 대학원에 진학하여 보시석사 ( 컫. A. ) 학위 취득을 위해 계속 공부하였다.",per:schools_attended,wikipedia,per,웨슬리,35,37,PER,옥스퍼드 대학교,6,13,ORG
3721,3721,31586,"동자0년 옥스퍼드 대학교 크라이스트처치 칼리지에 입학하여 존 웨슬리가 1724년에 문학사 ( A. B.'학위를 땄고, 대학원에 진학하여 문학석사 < M 유창 A. ) 학위 취득을 위해 계속 공부하였다.",per:schools_attended,wikipedia,per,웨슬리,34,36,PER,옥스퍼드 대학교,5,12,ORG
3721,3721,31587,"1720년 옥스퍼드 대학교 크라이스트처치 칼리지에 입학하여 존 웨슬리는 1724 단락에 문학사 ( B. A.'학위를 땄고, 대학원에 입학 하여 문학석학 ( M. A. ) 학위 취득을 가능기도 하였다.",per:schools_attended,wikipedia,per,웨슬리,35,37,PER,옥스퍼드 대학교,6,13,ORG
3920,3920,31588,"로런 파우스트는 1992년부터 1994년까지 캘리포니아 인스티튜트 오브 디 아츠를 다녔고, 러프 드래프트 스튜디오의 화면 구성 작가로 일했다.",per:schools_attended,wikipedia,per,로런 파우스트,0,6,PER,캘리포니아 인스티튜트 오브 디 아츠,25,43,ORG
3920,3920,31589,"로런 파우스트는 1992년부터 1994년까지 캘리포니아 인스티튜트 오브 디 아츠를 다녔고, 러프 은어 스튜디오에서 드라마 구성 작가로 일했다.",per:schools_attended,wikipedia,per,로런 파우스트,0,6,PER,캘리포니아 인스티튜트 오브 디 아츠,25,43,ORG
3920,3920,31590,로런 파우스트는 1992월 부터 1994년까지 캘리포니아 인스티튜트 오브 디 아츠를 다녔고 이후 드래프트 프 드래프트 스튜디오에서 화면 구성 작가로 일했다.,per:schools_attended,wikipedia,per,로런 파우스트,0,6,PER,캘리포니아 인스티튜트 오브 디 아츠,26,44,ORG
3920,3920,31591,"로런 파우스트는 1992월 부터 1994년까지 캘리포니아 인스티튜트 오브 디 아츠를 다녔고, 러프 드래프트 스튜디오의 화면 구성 작가로 일했다.",per:schools_attended,wikipedia,per,로런 파우스트,0,6,PER,캘리포니아 인스티튜트 오브 디 아츠,26,44,ORG
3920,3920,31592,"로런 파우스트는 1992년부터 1994년까ial 캘리포니아 인스티튜트 오브 디 아츠를 다녔고, 러프 드래프트 스튜디오에서 화면 구성 작가로 일했다.",per:schools_attended,wikipedia,per,로런 파우스트,0,6,PER,캘리포니아 인스티튜트 오브 디 아츠,27,45,ORG
4298,4298,31593,"다쓰노 긴고 ( 1853 음력 10월 13일 ~ 1919 실래요 3월 13월, 는 보전의 아들 이다. 고부대학교 ( 部 部 大 ( 이후 도쿄 대 정치전 대학, 현재 도쿄대 남편 공학부 ) 를 졸업하고 공학박사 가 되었다.",per:schools_attended,wikipedia,per,다쓰노 긴고,0,5,PER,고부대학교,57,61,ORG
4298,4298,31594,"다쓰노 긴고 ( 1854 야외 10월 13일 ~ 1919년 3월 25일 ) 는 도쿄 의 건축가이다. 고부대학교 ( 部 大 學, 이후 고등 대학 공과대학, 현재 도쿄대학 공학부 ) 를 졸업하고 공학박사가 되었다.",per:schools_attended,wikipedia,per,다쓰노 긴고,0,5,PER,고부대학교,56,60,ORG
4298,4298,31595,"다쓰노 긴고 ( 1854년 10월 13일 ~ 1919년 1 월 25 日 는 은 일본의 건축가이다. 고부대학교 ( 部 : 이후 제국대학 공과대학교, 현재 제국 대학 공학부 ) 를 졸업하고 공학박사가 되었다.",per:schools_attended,wikipedia,per,다쓰노 긴고,0,5,PER,고부대학교,55,59,ORG
4298,4298,31596,"다쓰노 긴고 ( 1854년 10월 13일 ~ 1995 년 3월 25일 ) 는 일본의 건축가이다. 고부대학교 ( 고부 大, 이후 제국대학교 공과대 캘 / 현재 도쿄대 반등 공학부 ) 를 졸업하고 공학박사박사 되었다.",per:schools_attended,wikipedia,per,다쓰노 긴고,0,5,PER,고부대학교,54,58,ORG
4298,4298,31597,"다쓰노 긴고 ( 1854 年 10월 13일 ~ 1919년 3월 25일 보배 은 일본의 건축가이다. 고부대학교 ( 部 大, 이후 제국대학 공과대학, 현재 도쿄대학 공학부 ) 를 입학 하고 공학박사가 되었다.",per:schools_attended,wikipedia,per,다쓰노 긴고,0,5,PER,고부대학교,55,59,ORG
4479,4479,31598,"170 0년 옥스퍼드 대학교 크라이스트리 칼리지에 입학하여 존 웨슬리는 1724년, 학사 ( B. Aiv ) 학위를 땄으나, 대학원에 진학 of 경영학 석사 ( M. A. ) 학위 취득 을 위해 계속 공부하였다.",per:schools_attended,wikipedia,per,존 웨슬리,33,37,PER,옥스퍼드 대학교,7,14,ORG
4479,4479,31599,"160 0년 옥스퍼드 대학교 크라이스트처치 칼리지로 입학한 존 웨슬리는 대학 4년, 문학문학 B ( B. 특임 학위를 땄고, 대학원에 진학하여 문학학 사 ( M. A. ) 학위 취득을 위해 계속 공부하고 였다.",per:schools_attended,wikipedia,per,존 웨슬리,33,37,PER,옥스퍼드 대학교,7,14,ORG
4479,4479,31600,"1720년 옥스퍼드 대학교 크라이스트처치학교 에 진학던 존 웨슬리는 172 틴트년, 문학사 ( B. B. ) 학위를 땄고, 대학원에 진학해 문학석사 ( M. A. ) 학위 획득 을 위해 계속 공부하였다.",per:schools_attended,wikipedia,per,존 웨슬리,31,35,PER,옥스퍼드 대학교,6,13,ORG
4479,4479,31601,"1720년 옥스퍼드 대학교 크라이 크라이 디트 칼리지에 입학한 존 웨슬리는 1724 LPGA, 문학사 ( B. A. ) 학위를 땄고, 대학원으로 진학하여기부석사 ( M. A. ) 학위 취득을 위해 계속 노력 하였다.",per:schools_attended,wikipedia,per,존 웨슬리,35,39,PER,옥스퍼드 대학교,6,13,ORG
4479,4479,31602,"1720년 옥스퍼드 대학교 크라이스트처치 칼리지에 입학된 존 웨슬리는 1724년, 문학사 ( B. Aiv 학위 학위를 땄고 이후 대학원에 입학 하여 문학석사 ( M. A. ) 학위 취득을 위해 계속 공부하였다.",per:schools_attended,wikipedia,per,존 웨슬리,32,36,PER,옥스퍼드 대학교,6,13,ORG
5208,5208,31603,"대구고등학교 1년 때인 2007 년에 투수 정인욱, 이강혁 등과 함께 대구고등학교를 청룡 적법 황금 대기 우승으로 이끌었고, 이듬해 는 우수 투수상을 수상했다.",per:schools_attended,wikipedia,per,정인욱,24,26,PER,대구고등학교,0,5,ORG
5208,5208,31604,"대구고등학교 2학년 때인 2007 년에 투수 정인욱은 이강혁 감독 과 함께 대구고등학교를 창단 첫 봉황대기 우승으로 이끌었고, 그는 우수 투수 상 을 차지 했다.",per:schools_attended,wikipedia,per,정인욱,25,27,PER,대구고등학교,0,5,ORG
5208,5208,31605,"대구고등학교 2학년이던 2008년 그는 정인욱, 이강혁 등과 함께 대구고등학교를 엘리자베스 첫 황금 대기 우승으로 이끌었고, 그는 우수 투수상을 수상했다.",per:schools_attended,wikipedia,per,정인욱,22,24,PER,대구고등학교,0,5,ORG
5208,5208,31606,"대구고등학교 2학년 때인 2008년에는 정인욱, 이강한 등과 함께 대구고등학교를 창단 첫 봉황대기 우승으로 이끌었고, 그는 우수 투수상을 수상했다.",per:schools_attended,wikipedia,per,정인욱,22,24,PER,대구고등학교,0,5,ORG
5208,5208,31607,"대구고등학교 2 패스트푸드 때던 2007 년에 투수 정인욱, 이강혁 등와 함께 대구고등학교를 창단 첫 봉황대기 우승으로 이끌었고 살려 그는 그해 투수왕 을 수상했다.",per:schools_attended,wikipedia,per,정인욱,29,31,PER,대구고등학교,0,5,ORG
5838,5838,31608,졸업 후 5개월 정도 현장 실습을 마친 박정희는 1942 년 10년 1에 일본 육군사관학교 제57기로 편입했다.,per:schools_attended,wikipedia,per,박정희,22,24,PER,육군사관학교,44,49,ORG
5838,5838,31609,그 후 2 개월 정도 현장 실습을 마친 박정희는 1942년 10월 1일 일본 육군사관학교 제57기로 임관 했다.,per:schools_attended,wikipedia,per,박정희,22,24,PER,육군사관학교,43,48,ORG
5838,5838,31610,졸업 직후 5개월 정도 현장 실습를 마친 박정희는 1942년 10월 1일 일본 육군사관학교 제2학교 로 편입했다.,per:schools_attended,wikipedia,per,박정희,23,25,PER,육군사관학교,44,49,ORG
5838,5838,31611,졸업 후 5개월 이해관계 현장 실습을 마친 박정희는 1942년 10월 1일 일본 육군사관학교 제57기로 편입했다.,per:schools_attended,wikipedia,per,박정희,24,26,PER,육군사관학교,45,50,ORG
5838,5838,31612,그 후 3 2 월 정도 현장 실습을 마친 박정희는 1942 년 11 월 1일 일본 육군사관학교학교 57기로 편입했다.,per:schools_attended,wikipedia,per,박정희,23,25,PER,육군사관학교,46,51,ORG
5902,5902,31613,"또한, 1960년 전라북도 남원 금지중학교를 졸업하여 그 해에 마산상업고등학교에 입학을 한지 며칠 안되 시위에 참가했던 학생 김주열의 시신이 4월 11일 아침 왼쪽 눈 아래 최루탄 노예 박힌 채 마산 앞바다에 떠오른 것이 발견되면서 시위는 더욱 격화되었고, 이후 전국적으로 시위가 확산되어 4 · 11 혁명을 촉발하 에 이르렀다.",per:schools_attended,wikipedia,per,김주열,70,72,PER,마산상업고등학교,35,42,ORG
5902,5902,31614,"또한, 1960년 전라북도 남원 금지중학교를 졸업하여 그 해에 마산상업고등학교로 전학 을 한지 얼마 안되 시위에 참여 했한 학생 김주열의 시신이 4 · 4 일 아침 플 눈 아래 탄 탄이 박힌 채 마산 앞바다로 떠오른 것이 발견되면서 시위는 한층 격화되되 고, 마침내 전국적으로 사태 가 확산되어 개별 · 단체운동 을 촉발하기에 이르렀다.",per:schools_attended,wikipedia,per,김주열,72,74,PER,마산상업고등학교,35,42,ORG
5902,5902,31615,"또한는 1960년 전라북도 남원 금지중학교를 졸업하고 그 해에 마산상업고등학교로 입학을 한지 얼마 안되 시위에 참가하 던 학생 김주열의 시신들이 4월 13 일 내뿜 왼쪽 눈에 최루탄이 박힌 채 마산 앞바다로 떠오른 시신 이 발견되어 사태가 더욱 격화되었고, 이후 전국으로 시위가 확산하 어 4 · 19 혁명을 야기 하기에 이르렀다.",per:schools_attended,wikipedia,per,김주열,71,73,PER,마산상업고등학교,35,42,ORG
5902,5902,31616,"또한, 1960년 특공월 금지중학교를 졸업하여 그 해 해 마산상업고등학교로 입학을 한지 얼마 안되 시위에 참가하 던 학생 김주열의 시신이 4월 4 할매 아침에 눈에 최루 최루 이 박힌 채 마산 바다 에 떠오른 것이 발견되면서 시위는는 격화되었고고 이후 전국으로 시위가 확산 [ unused335 ] 어 4 · 19 혁명을에 하기에 렀다.",per:schools_attended,wikipedia,per,김주열,68,70,PER,마산상업고등학교,32,39,ORG
5902,5902,31617,"또한, 1960학년 전라북도 남원 금지중학교에 재학 하여 1960 해 경상남도 마산상업고등학교로 입학을 하고 얼마 얼마 되 시위에 참가했던 학생 김주열의 시신가 53월 11일 아침 왼쪽 눈나이티 최루액 이 박힌채 마산 바다로 떠오른 것이 확인 되보기 시위는 더욱 격화되었고, 이후 전국적으로 시위 환 확산되 방식 4워하 11 혁명으로 촉발되 에 이르렀다.",per:schools_attended,wikipedia,per,김주열,81,83,PER,마산상업고등학교,44,51,ORG
6345,6345,31618,한국 여자복싱계 ‘ 샛별 ’ 임애지 ( 22 ‧ 한국체대 ] 가 한국 여자 복 싱 사상 최초 로 올림픽 본선 출전 티켓 을 달성 했다.,per:schools_attended,wikitree,per,임애지,16,18,PER,한국체대,27,30,ORG
6345,6345,31619,한국 여자복싱계 ‘ 샛별 ’ 임애지 ( 21 ‧ 한국체대 ) 가 한국 여자복싱 사상 최초로 올림픽 올림픽 출전권권 획득했다.,per:schools_attended,wikitree,per,임애지,16,18,PER,한국체대,27,30,ORG
6345,6345,31620,한국 여자복싱계 ‘ 샛별 ’ 임애지 ( 21 ‧ 한국체대 ) 가 한국 여자 복 싱 사상 최초 로 올림픽 본선 출전권을 획득했다.,per:schools_attended,wikitree,per,임애지,16,18,PER,한국체대,27,30,ORG
6345,6345,31621,한국 여자복싱계 ‘ 샛별'임애지 ( 21 ‧ 한국체대 ) 가 한국 女 양식싱 사상 최초로 올림픽 본선 출전권을 획득했다.,per:schools_attended,wikitree,per,임애지,14,16,PER,한국체대,25,28,ORG
6345,6345,31622,한국 여자복 최강 두부 ‘ 샛주 ’ 임애지 ( 21 ‧ 한국체대 ) 가 한국 여자복복 선수 최초로로 본선 출전권을 뉘앙스했다.,per:schools_attended,wikitree,per,임애지,20,22,PER,한국체대,31,34,ORG
6680,6680,31623,"그 후 김재한 을 감독으로 영입한 LG 트윈스는 양승호를 2군 감독으로 내정했지만, 이를 사양하여 2008 년 3 월 22일 고려대학교 감독으로 취임하였다.",per:schools_attended,wikipedia,per,양승호,27,29,PER,고려대,70,72,ORG
6680,6680,31624,"시즌 전 로이 박을 감독으로 영입한 LG 트윈스가 양승호를 2군 감독으로 내정했으나, 이를 사양하고 2006년 12월 모교인 고려대학교 감독으로 전격 기록였다.",per:schools_attended,wikipedia,per,양승호,28,30,PER,고려대,70,72,ORG
6680,6680,31625,"시즌 전 김재박을 감독으로 영입했 LG 트윈스는 양승호를 1 군감독에 내정했으나, 돌연를 하고고고 12월 모교 모교 고려대학교 총장 으로 취임 하 였다.",per:schools_attended,wikipedia,per,양승호,27,29,PER,고려대,65,67,ORG
6680,6680,31626,"시즌 후 김재박을 단장 으로 영입한 LG 구단가 양승호를 2군 감독으로 내정했으나, 이를 사양하고 2006년 3 월 모교인 고려대학교 사령탑 으로 취임하였다.",per:schools_attended,wikipedia,per,양승호,27,29,PER,고려대,69,71,ORG
6680,6680,31627,시즌 후 김재한 을 감독으로 영입했 LG 트윈스는 양승호를 2군 감독으로 내정했으나으나 이를 사양eph 2006년 12월 모교인 고려대학교 감독으로 부임 하였다.,per:schools_attended,wikipedia,per,양승호,28,30,PER,고려대,72,74,ORG
6805,6805,31628,"차터필드 학교와 옥스퍼드 대학교에서 공부 한 존 웨슬리는 옥스퍼드 링컨 칼리지에서 교수 ( fellow ) 가 되었으며, 1725년에는 부제가, 1728년에는 사제 / 교구 목사가 되었다.",per:schools_attended,wikipedia,per,존 웨슬리,25,29,PER,옥스퍼드 대학교,9,16,ORG
6805,6805,31629,"차터하우스 학교와 옥스퍼드 대학교 에서 공부한 존 웨슬리는 옥스퍼드 링컨 칼리지에서 교수 ( Fe fe ow ) 가 되었으며, 172 5네스에는 부제가, 1728년에는 사제 / 띄목사가 되었다.",per:schools_attended,wikipedia,per,존 웨슬리,26,30,PER,옥스퍼드 대학교,10,17,ORG
6805,6805,31630,"크라이 터하우스 신학교 와 옥스퍼드 대학교에서 공부한 존 웨슬리는 옥스퍼드 링컨 칼리지의 교수 ( fellow 가 가 되 었 으며, 1725년에는 부제가, 1728년부터 는 사제이자 목사가 되었다.",per:schools_attended,wikipedia,per,존 웨슬리,30,34,PER,옥스퍼드 대학교,15,22,ORG
6805,6805,31631,"크라이밍 하우스 학교와 옥스퍼드 대학교에서 공부한 존 웨슬리는 옥스퍼드 유니버 칼리지 칼리지로우 ( H llow ) 가 되었으며, 1725년 에는는 가, 1728년에는 사제 / 장로목사가 되었다.",per:schools_attended,wikipedia,per,존 웨슬리,28,32,PER,옥스퍼드 대학교,13,20,ORG
6805,6805,31632,"차터하우스 학교와 옥스퍼드 대학교에서 공부한 존 웨슬리는 옥스퍼드 교차 칼리지의 교수 ( fellow )가 되었으며, 1726 년에는 부제를, 걸치8년에는 목사 / 장로목사가었 었다.",per:schools_attended,wikipedia,per,존 웨슬리,25,29,PER,옥스퍼드 대학교,10,17,ORG
8481,8481,31633,3 · 14 부정 위례 선거 무효 및 재선거를 주장하던 3 · 15 마산 의거에 참여한 1960년 전라북도 남원 금지중학교를 자퇴 하여 마산상업고등학교에 입학한지 얼마 안된 학생 김주열이 구속 된지 27일 후인 4월 11일 아침 마산합 부부 앞바다에서 왼쪽 눈에 경찰이 쏜 총 탄이 박힌 채 시신으로 떠오른 것이 부산일보를 통해 보도되면서 시위는 전국적으로 번지 며 격화되었다.,per:schools_attended,wikipedia,per,김주열,100,102,PER,마산상업고등학교,76,83,ORG
8481,8481,31634,3 15국통령 선거 선거 무효와 무효 를 주장하던 2월 15 마산 의거에 참가 한였으로 전라북도 남원 금지중학교를 졸업하여 마산상업고등학교에 입학 입학 지 얼마 안된 학생 김주열이 실종된 지 2 일 후인 3 월 11일일 마산 중앙부두 앞바다에서 왼쪽 눈에 경찰이 쏜 최루탄이 이뤄질 채 모습 으로 떠오른 것 이 부산 연합뉴스 를 통해 보도되면서 시위는 세계 적으로 퍼지며 격화되었다.,per:schools_attended,wikipedia,per,김주열,96,98,PER,마산상업고등학교,69,76,ORG
8481,8481,31635,2 · 15 부정 선거에 무효와 직선제을 주장하던 3. 15 마산 의거에 참여한 1960년 전라북도 남원 금지중학교를 칙칙하여 마산상업고등학교에 진학 한지 얼마 안된 학생 김주열이 실종된 지 2 일째 인 4월 11일 아침 마산 중앙 부두 앞바다에서 왼쪽 눈에 경찰이 쏜 최루탄이 박힌 채 시신으로 떠오른 것이 부산일보를 통해 보도되 면서 시위는 전국적으로 퍼지며 격화되었다.,per:schools_attended,wikipedia,per,김주열,96,98,PER,마산상업고등학교,71,78,ORG
